Artículo;Artículo descripción;Color;Color descripción;Talle;Nombre;Cantidad
U35173001;MASCARILLA RESPIRABLE MENDOZA C/VALVULA;H1;BLANCO;U;Total Protect S. R. L.;-10,00
121134004;BOTIN HUEPIL 2701 PAMPERO CUERO FLOR C/P BIDENSIDAD;H2;NEGRO;42;DENEB SA;-6,00
I006;BUZO BASICO H.POLAR 1/2 CIERRE PAMPERO;H3;GRIS;L;RANQUEL DEL PLATA SA;-5,00
I062;BOTA PAMPERO JOB MASTER CON PUNTERA;H2;NEGRO;46;INTENSIVO SA;-3,00
I075;GUANTE DESCARNE SOLDADOR;V1;VARIOS;U;CANOR - NOGUERA CARLOS JAVIER;-3,00
I116;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);G1;BEIGE;50;MACATA SA;-3,00
PA3010;ZAPATILLA 3010 PAMPERO TREKKING;G1;BEIGE;42;DENEB SA;-3,00
U211;PACK MEDIAS ALGODON 3/4 PAMPERO MODELO 4;V1;VARIOS;U;ELIHO TEXTIL S.R.L;-3,00
U454;BOMBACHA ALUMINE M.POPLIN PAMP.;G1;BEIGE;40;RIEMERSO SA;-3,00
U752;CHALECO SOFTSHELL PAMPERO IND.;H2;NEGRO;MMG;RANQUEL DEL PLATA SA;-3,00
121134004;BOTIN HUEPIL 2701 PAMPERO CUERO FLOR C/P BIDENSIDAD;H2;NEGRO;44;DENEB SA;-2,00
121134004;BOTIN HUEPIL 2701 PAMPERO CUERO FLOR C/P BIDENSIDAD;H2;NEGRO;40;DENEB SA;-2,00
412500058;PANTALON ORIGEN DENIM;C6;AZUL JEAN;46;RIEMERSO SA;-2,00
811122047;REMERA BASICA M/C ESC RED.;H2;NEGRO;MCH;C D Way S.A.;-2,00
811122319;CAMISA CORDOBA VIYELA;V1;VARIOS;MMG;AZUL PATAGONIA;-2,00
I010;BUZO BASICO H.FRIZA PAMPERO;C4;AZUL MARINO;M;GUADAL RM SRL;-2,00
I010;BUZO BASICO H.FRIZA PAMPERO;C4;AZUL MARINO;3XL;GUADAL RM SRL;-2,00
I062;BOTA PAMPERO JOB MASTER CON PUNTERA;H2;NEGRO;41;INTENSIVO SA;-2,00
I102;BOMBACHA LISA HOMBRE PAMPERO (38-54);G1;BEIGE;44;MACATA SA;-2,00
I116;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);E1;VERDE;52;MACATA SA;-2,00
I257;PONCHO RESERO ROYAL PAMPERO PVC;E1;VERDE;L;SAFETY SOLUTION SA;-2,00
U029;PANTALON CARGO BAGUALES PAMPERO;E1;VERDE;46;CITEX SRL;-2,00
U029;PANTALON CARGO BAGUALES PAMPERO;G1;BEIGE;46;CITEX SRL;-2,00
U082;CINTO SAUCE COMB. 40 SOGA PAMPERO;G1;BEIGE;105;Pionera S.A.;-2,00
U412;PANTALON CARGO DEL NORTE H.;E1;VERDE;42;CITEX SRL;-2,00
U752;CHALECO SOFTSHELL PAMPERO IND.;H2;NEGRO;MG;RANQUEL DEL PLATA SA;-2,00
111122053;REMERA BASICA JERSEY 24/1 PEINADO LINCOLN;C6;AZUL JEAN;2MG;Pampenorte S.R.L.;-1,00
111122053;REMERA BASICA JERSEY 24/1 PEINADO LINCOLN;H3;GRIS;G;Pampenorte S.R.L.;-1,00
111138100;CHOMBA BASICA PIQUE PAMPERO;H3;GRIS;MG;Pampenorte S.R.L.;-1,00
111140100;REMERA CARDADO JERSEY 24/1 PAMPERO;H3;GRIS;MMG;Pampenorte S.R.L.;-1,00
121134003;BOTINETA PEHUAJO C/ CORDONES;E1;VERDE;39;RANQUEL DEL PLATA SA;-1,00
134171010;GUANTE CUTEX TOUCH ANTI CORTE PU;V1;VARIOS;8;INDUSTRIAL ZONDA SA;-1,00
321173003;BOTIN TREKKING CASTOR;H2;NEGRO;44;INTENSIVO SA;-1,00
411122007;CAMISA SOLER VIYELA;E1;VERDE;MG;TORRES RODRIGO SEBASTIAN;-1,00
411122007;CAMISA SOLER VIYELA;E1;VERDE;2MG;TORRES RODRIGO SEBASTIAN;-1,00
411122230;CAMISACO LEÑADOR;P4;GRIS MELANGE;G;AZUL PATAGONIA;-1,00
411124020;CAMISA SAN LUIS C.SEMI AB.BOT M/L;N2;AZUL/ROJO;MMG;AZUL PATAGONIA;-1,00
411138029;POLO RIO DE LA PLATA;C4;AZUL MARINO;G;C D Way S.A.;-1,00
411527012;CAMISA SOLER CUELLO INGLES OXFORD RAYADO;V1;VARIOS;G;AZUL PATAGONIA;-1,00
412101002;PANTALON CARGO DEL NORTE HOMBRE;G0;HABANO;40;CITEX SRL;-1,00
511138100;CHOMBA DAMA BASICA PIQUE PAMPERO;H1;BLANCO;M;Pampenorte S.R.L.;-1,00
811106297;CHALECO BARADERO;P4;GRIS MELANGE;CH;J.S. Purpura S.R.L.;-1,00
811122030;SAQUITO SIERRA DAMA;H2;NEGRO;CH;FOOTWEAR S.R.L;-1,00
811124004;CAMISA MAIZANI M/L POPLIN Y FIBRANA;B1;ROJO;L;AZUL PATAGONIA;-1,00
811135019;SWEATER MAIMARA;G3;MARRON;G;FOOTWEAR S.R.L;-1,00
811135019;SWEATER MAIMARA;G3;MARRON;CH;FOOTWEAR S.R.L;-1,00
811514107;RUANA BELTRAN;E2;VERDE SECO;U;FOOTWEAR S.R.L;-1,00
813106001;CHALECO ANGOSTURA MATELASEADO;G1;BEIGE;MMG;FOOTWEAR S.R.L;-1,00
813106001;CHALECO ANGOSTURA MATELASEADO;G1;BEIGE;M;FOOTWEAR S.R.L;-1,00
882106012;MOCHILA PEHUEN CO;V1;VARIOS;U;Pionera S.A.;-1,00
I006;BUZO BASICO H.POLAR 1/2 CIERRE PAMPERO;H3;GRIS;XL;RANQUEL DEL PLATA SA;-1,00
I011;TRAJE DE LLUVIA PVC PAMPERO;C4;AZUL MARINO;3XL;SAFETY SOLUTION SA;-1,00
I036;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);C4;AZUL MARINO;42;MACATA SA;-1,00
I065;BOTA NAUTICA C/CUELLO PVC C.LARGA PAMPERO;C2;AZUL FRANCIA;38;INTENSIVO SA;-1,00
