Comprobante;Origen - Nombre de base de datos;Fecha;Vendedor - Nombre;Lista de precios - Descripción;Proveedor - Nombre;Artículo - Descripción;Artículo - Código;Color - Código;Talle - Descripción;Item - Cantidad;Item - Monto Neto
FCV B 0001-00000211;CORDOBA2;13/04/2026;Julieta Fernandez;PUBLICO;Pionera S.A.;CINTO HEBILLA FORRADA 35MM;444134005;H2;100;1;24651,3208
FCV B 0050-00000039;CORDOBA2;04/05/2026;Julieta Fernandez;PUBLICO;Pionera S.A.;CINTO GALON SAUCE 35MM;441106009;H3;100;1;25857,1419
FCV B 0001-00000040;CORDOBA2;13/02/2026;Sofia Perazzo;PUBLICO;Pionera S.A.;CINTO JAZMIN 30MM;844134015;H2;100;1;18900
FCV B 0001-00000093;CORDOBA2;05/03/2026;Sofia Perazzo;MAYORISTA;Pionera S.A.;CINTO ALAMO 40MM;444134011;H2;100;1;26004,8306
FCV B 0001-00000156;CORDOBA2;25/03/2026;Sofia Perazzo;PUBLICO;Pionera S.A.;CINTO COIHUE LISO 40 ENGRASADO PAMPERO;U084;G3;115;-1;-37250
FCV B 0001-00000156;CORDOBA2;25/03/2026;Sofia Perazzo;PUBLICO;Pionera S.A.;CINTO COIHUE LISO 40 ENGRASADO PAMPERO;U084;G3;110;1;37250
FCV B 0001-00000132;CORDOBA2;16/03/2026;Sofia Perazzo;PUBLICO;Pionera S.A.;CINTO SAUCE COMB. 40 SOGA PAMPERO;U082;G1;95;1;24644,6951
FCV B 0001-00000174;CORDOBA2;30/03/2026;Nicolas Urricelqui;PUBLICO;Pionera S.A.;CINTO SAUCE COMB. 40 SOGA PAMPERO;U082;C6;115;1;24700
FCV B 0001-00000153;CORDOBA2;23/03/2026;Nicolas Urricelqui;PUBLICO;Pionera S.A.;CINTO COIHUE LISO 40 ENGRASADO PAMPERO;U084;G3;95;1;33000
FCV B 0001-00000022;CORDOBA2;10/02/2026;Julieta Fernandez;PUBLICO;Pionera S.A.;CINTO JAZMIN 30MM;844134015;H2;90;1;18913,3199
FEN B 0028-00000190;CORDOBA;03/03/2026;Chistian Videla;PUBLICO;Pionera S.A.;CINTO COIHUE LISO 40 ENGRASADO PAMPERO;U084;G3;95;-1;-37250
FEN B 0028-00000189;CORDOBA;03/03/2026;Chistian Videla;PUBLICO;Pionera S.A.;CINTO COIHUE LISO 40 ENGRASADO PAMPERO;U084;G3;95;1;37250
FEN B 0028-00000257;CORDOBA;09/03/2026;Nicolas Urricelqui;PUBLICO;Pionera S.A.;CINTO COIHUE LISO 40 ENGRASADO PAMPERO;U084;G3;95;1;35387,5004
FEN B 0028-00000370;CORDOBA;23/03/2026;Nicolas Urricelqui;PUBLICO;Pionera S.A.;CINTO COIHUE LISO 40 ENGRASADO PAMPERO;U084;G3;95;1;37250
FEN B 0028-00000257;CORDOBA;09/03/2026;Nicolas Urricelqui;PUBLICO;Pionera S.A.;CINTO TAPIAL H. 40 CUERO PAMPERO;U088;G3;90;1;30400,0003
FEN A 0028-00000052;CORDOBA;04/03/2026;Nicolas Urricelqui;PUBLICO;Pionera S.A.;CINTO GALON SAUCE 35MM;441106009;H3;120;1;28750
FEN B 0028-00000660;CORDOBA;25/04/2026;Nicolas Urricelqui;PUBLICO;Pionera S.A.;CINTO JAZMIN 30MM;844134015;G3;105;1;21000
FEN B 0028-00000224;CORDOBA;06/03/2026;Nicolas Urricelqui;PUBLICO;Pionera S.A.;CINTO SAUCE COMB. 40 SOGA PAMPERO;U082;C4;100;1;26030
FEN B 0028-00000059;CORDOBA;11/02/2026;Sofia Perazzo;PUBLICO;Pionera S.A.;CINTO JAZMIN 30MM;844134015;G3;90;1;19950,0001
FEN B 0028-00000251;CORDOBA;09/03/2026;Sofia Perazzo;PUBLICO;Pionera S.A.;CINTO JAZMIN 30MM;844134015;H2;85;1;19900
FEN B 0028-00000446;CORDOBA;06/04/2026;Sofia Perazzo;PUBLICO;Pionera S.A.;CINTO CANELO FLOTER 30MM;844134013;G6;85;1;32500
FEN B 0028-00000313;CORDOBA;16/03/2026;Julieta Fernandez;PUBLICO;Pionera S.A.;CINTO CANELO FLOTER 30MM;844134013;G6;85;1;30874,9996
FEN B 0028-00000091;CORDOBA;18/02/2026;Julieta Fernandez;PUBLICO;Pionera S.A.;CINTO TAPIAL H. 40 CUERO PAMPERO;U088;G3;95;1;30384,4648
FEN B 0028-00000096;CORDOBA;19/02/2026;Sofia Perazzo;PUBLICO;Pionera S.A.;CINTO COIHUE LISO 40 ENGRASADO PAMPERO;U084;G3;100;1;37250
FEN B 0028-00000266;CORDOBA;11/03/2026;Sofia Perazzo;PUBLICO;Pionera S.A.;CINTO SAUCE COMB. 40 SOGA PAMPERO;U082;G1;100;1;27400
FEN B 0028-00000559;CORDOBA;15/04/2026;Sofia Perazzo;PUBLICO;Pionera S.A.;CINTO GALON SAUCE 35MM;441106009;H3;105;1;28750
FEN B 0028-00000383;CORDOBA;26/03/2026;Julieta Fernandez;PUBLICO;Pionera S.A.;CINTO TAPIAL H. 40 CUERO PAMPERO;U088;G3;110;1;32000
FEN B 0028-00000264;CORDOBA;10/03/2026;Julieta Fernandez;PUBLICO;Pionera S.A.;CINTO TAPIAL H. 40 CUERO PAMPERO;U088;G3;100;1;32000
FEN B 0028-00000245;CORDOBA;09/03/2026;Julieta Fernandez;PUBLICO;Pionera S.A.;CINTO JAZMIN 30MM;844134015;G3;100;1;19935,211
FEN A 0028-00000024;CORDOBA;14/02/2026;Julieta Fernandez;PUBLICO;Pionera S.A.;CINTO HEBILLA FORRADA 35MM;444134005;H2;105;1;27400
FEN B 0028-00000064;CORDOBA;12/02/2026;Julieta Fernandez;PUBLICO;Pionera S.A.;CINTO SAUCE COMB. 40 SOGA PAMPERO;U082;G1;105;1;26022,3462
FEN B 0028-00000437;CORDOBA;04/04/2026;Julieta Fernandez;PUBLICO;Pionera S.A.;CINTO SAUCE COMB. 40 SOGA PAMPERO;U082;G1;105;1;27400
FEN B 0028-00000665;CORDOBA;27/04/2026;Julieta Fernandez;PUBLICO;Pionera S.A.;CINTO CANELO FLOTER 30MM;844134013;G6;105;1;32500
FEN B 0028-00000729;CORDOBA;04/05/2026;Julieta Fernandez;PUBLICO;Pionera S.A.;CINTO COIHUE LISO 40 ENGRASADO PAMPERO;U084;G3;105;1;37250
FCV B 0001-00000128;CORDOBA2;14/03/2026;Nicolas Urricelqui;PUBLICO;C D Way S.A.;REMERA CATEDRAL;811168026;H0;MCH;1;36367,3658
FCV B 0001-00000019;CORDOBA2;07/02/2026;Nicolas Urricelqui;PUBLICO;C D Way S.A.;REMERA MOLINOS;411140205;G6;MG;1;31040,0586
FCV B 0001-00000041;CORDOBA2;13/02/2026;Nicolas Urricelqui;PUBLICO;C D Way S.A.;POLO BASICA PIQUE;411138008;E5;MG;1;53198,808
FCV B 0001-00000129;CORDOBA2;14/03/2026;Sofia Perazzo;PUBLICO;C D Way S.A.;REMERA PUERTO PIRAMIDES;811140065;J1;M;1;41658,2195
FCV B 0050-00000027;CORDOBA2;29/04/2026;Sofia Perazzo;PUBLICO;C D Way S.A.;REMERA VALLE DE LA LUNA;411507000;H2;CH;1;55829,1548
FCV B 0001-00000212;CORDOBA2;13/04/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA VALLE DE LA LUNA;411507000;H2;M;1;55800,0014
FEN A 0028-00000105;CORDOBA;25/03/2026;Sofia Perazzo;MAYORISTA;C D Way S.A.;POLO RIO DE LA PLATA;411138029;C6;G;1;43500
FEN B 0028-00000329;CORDOBA;18/03/2026;Sofia Perazzo;PUBLICO;C D Way S.A.;REMERA PUERTO PIRAMIDES;811140065;C6;CH;1;43986,9594
FEN A 0028-00000187;CORDOBA;27/04/2026;Sofia Perazzo;PUBLICO;C D Way S.A.;REMERA BASICA PREMIUM 30/1 PAMPERO;411140004;E3;S;1;34100
FEN B 0028-00000716;CORDOBA;02/05/2026;Nicolas Urricelqui;PUBLICO;C D Way S.A.;POLO RIO DE LA PLATA;411138029;E3;G;1;56300
FEN A 0028-00000088;CORDOBA;19/03/2026;Nicolas Urricelqui;PUBLICO;C D Way S.A.;POLO RIO DE LA PLATA;411138029;E3;G;1;56300
FEN B 0028-00000682;CORDOBA;28/04/2026;Nicolas Urricelqui;PUBLICO;C D Way S.A.;POLO TREBOL ROJO;811508009;G1;CH;1;56000
FEN A 0028-00000056;CORDOBA;06/03/2026;Nicolas Urricelqui;PUBLICO;C D Way S.A.;REMERA PUERTO PIRAMIDES;811140065;G1;CH;1;43985,0003
FEN A 0028-00000013;CORDOBA;07/02/2026;Nicolas Urricelqui;MAYORISTA;C D Way S.A.;REMERA CATEDRAL;811168026;H0;CH;1;28500
FEN B 0028-00000371;CORDOBA;23/03/2026;Nicolas Urricelqui;PUBLICO;C D Way S.A.;POLO RIO DE LA PLATA;411138029;E3;CH;1;53484,9983
FEN A 0028-00000182;CORDOBA;23/04/2026;Sofia Perazzo;MAYORISTA;C D Way S.A.;POLO RIO DE LA PLATA;411138029;E3;M;1;43500
FEN B 0028-00000716;CORDOBA;02/05/2026;Nicolas Urricelqui;PUBLICO;C D Way S.A.;POLO RIO DE LA PLATA;411138029;C5;M;1;56300
FEN B 0028-00000004;CORDOBA;02/02/2026;Sofia Perazzo;PUBLICO;C D Way S.A.;REMERA MOLINOS;411140205;G6;G;1;34500
FEN B 0028-00000604;CORDOBA;20/04/2026;Sofia Perazzo;PUBLICO;C D Way S.A.;REMERA VALLE DE LA LUNA;411507000;H2;G;1;62000
FEN B 0028-00000276;CORDOBA;12/03/2026;Sofia Perazzo;PUBLICO;C D Way S.A.;REMERA PUERTO PIRAMIDES;811140065;G1;G;1;43985,0011
FEN A 0028-00000164;CORDOBA;17/04/2026;Sofia Perazzo;MAYORISTA;C D Way S.A.;POLO RIO DE LA PLATA;411138029;C6;MG;1;43500
FEN A 0028-00000164;CORDOBA;17/04/2026;Sofia Perazzo;MAYORISTA;C D Way S.A.;POLO RIO DE LA PLATA;411138029;C5;MG;1;43500
FEN B 0028-00000588;CORDOBA;17/04/2026;Sofia Perazzo;PUBLICO;C D Way S.A.;POLO RIO DE LA PLATA;411138029;C6;MG;1;56300
FEN B 0028-00000625;CORDOBA;22/04/2026;Sofia Perazzo;PUBLICO;C D Way S.A.;REMERA VALLE DE LA LUNA;411507000;H2;M;1;62000
FEN B 0028-00000588;CORDOBA;17/04/2026;Sofia Perazzo;PUBLICO;C D Way S.A.;POLO BASICA PIQUE;411138008;E3;MG;1;59100
FEN B 0028-00000122;CORDOBA;23/02/2026;Sofia Perazzo;PUBLICO;C D Way S.A.;POLO VOLCAN DOMUYO;411140218;C4;M;1;46300
FEN A 0028-00000033;CORDOBA;24/02/2026;Nicolas Urricelqui;PUBLICO;C D Way S.A.;REMERA BASICA M/C ESC RED.;811122047;H2;S;2;59470,0015
FEN B 0028-00000363;CORDOBA;21/03/2026;Nicolas Urricelqui;PUBLICO;C D Way S.A.;POLO BASICA PIQUE;411138008;D1;MMG;1;59100
FEN A 0028-00000056;CORDOBA;06/03/2026;Nicolas Urricelqui;PUBLICO;C D Way S.A.;REMERA BASICA M/C ESC RED.;811122047;H2;MCH;1;29735,0001
FEN B 0028-00000261;CORDOBA;10/03/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;POLO RIO DE LA PLATA;411138029;C5;3MG;1;53484,9997
CEN B 0028-00000001;CORDOBA;03/02/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA BASICA PREMIUM 30/1 PAMPERO;411140004;E3;XXL;-1;-28068,1502
FEN B 0028-00000009;CORDOBA;03/02/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA BASICA PREMIUM 30/1 PAMPERO;411140004;E3;XXL;1;28068,1502
FEN A 0028-00000123;CORDOBA;31/03/2026;Sofia Perazzo;PUBLICO;C D Way S.A.;REMERA BASICA PREMIUM 30/1 PAMPERO;411140004;E3;XL;1;34100
FEN B 0028-00000471;CORDOBA;08/04/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA BASICA M/C ESC RED.;811122047;H2;MCH;1;31300
FCV A 0001-00000001;CORDOBA;26/03/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA PUERTO PIRAMIDES;811140065;G1;MCH;1;43985
CEN A 0028-00000009;CORDOBA;26/03/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA PUERTO PIRAMIDES;811140065;G1;MCH;-1;-43985
FEN A 0028-00000108;CORDOBA;26/03/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA PUERTO PIRAMIDES;811140065;G1;MCH;1;43985
FEN B 0028-00000259;CORDOBA;10/03/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA MOLINOS;411140205;G9;MMG;1;37700
